City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,diego de almagro,-26.3667,-70.05,26.0,19,2,5.59,CL,1667587547
251,vestmannaeyjar,63.4427,-20.2734,7.55,87,75,12.86,IS,1667587548
252,inyonga,-6.7167,32.0667,24.41,47,100,1.32,TZ,1667587548
253,quartucciu,39.2519,9.1794,13.35,79,24,3.32,IT,1667587548
254,taquarituba,-23.5331,-49.2444,21.22,43,0,4.49,BR,1667587549
255,sitka,57.0531,-135.33,2.94,93,75,0.0,US,1667587549
256,bubaque,11.2833,-15.8333,29.37,55,100,2.29,GW,1667587549
257,alpuyeca,18.7333,-99.2667,28.73,50,20,0.0,MX,1667587550
258,madras,13.0878,80.2785,25.99,94,75,1.03,IN,1667587467
259,juybar,36.6412,52.9124,14.09,71,3,2.89,IR,1667587550
260,yola,9.2,12.4833,27.09,26,64,0.84,NG,1667587551
261,matara,5.9485,80.5353,24.42,91,100,1.3,LK,1667587551
262,ambilobe,-13.2,49.05,22.62,72,0,1.66,MG,1667587551
263,fortuna,40.5982,-124.1573,15.52,80,100,4.47,US,1667587552
264,zavodskoy,43.4597,132.2922,-9.23,86,0,0.0,RU,1667587552
265,pontianak,-0.0333,109.3333,25.99,100,100,1.03,ID,1667587552
266,rovaniemi,66.5,25.7167,5.67,100,100,6.69,FI,1667587553
267,longyearbyen,78.2186,15.6401,-2.09,86,75,1.54,SJ,1667587284
268,hokitika,-42.7167,170.9667,11.08,83,15,3.28,NZ,1667587553
269,atambua,-9.1061,124.8925,23.85,82,66,1.35,ID,1667587554
270,east london,-33.0153,27.9116,19.52,94,0,1.54,ZA,1667587345
271,lorengau,-2.0226,147.2712,27.0,78,98,0.64,PG,1667587554
272,lakes entrance,-37.8811,147.981,10.09,88,86,1.41,AU,1667587554
273,adrar,20.5022,-10.0711,25.9,12,0,4.83,MR,1667587555
274,saint-augustin,51.226,-58.6502,4.48,73,100,2.89,CA,1667587555
275,saint-leu,-21.15,55.2833,22.48,79,30,2.1,RE,1667587555
276,ewa beach,21.3156,-158.0072,28.25,76,0,2.57,US,1667587556
277,fairbanks,64.8378,-147.7164,-9.88,84,100,0.0,US,1667587397
278,kysyl-syr,63.8986,122.7617,-10.57,94,100,3.23,RU,1667587556
279,tadine,-21.55,167.8833,24.86,84,17,6.88,NC,1667587556
280,sarmizegetusa,45.5167,22.7833,11.21,70,100,2.12,RO,1667587557
281,kanigiri,15.4,79.5167,23.74,88,8,0.92,IN,1667587557
282,mogadishu,2.0371,45.3438,25.9,81,100,4.9,SO,1667587557
283,champerico,14.3,-91.9167,32.3,70,37,2.3,GT,1667587557
284,ploemeur,47.7333,-3.4333,12.68,79,0,2.06,FR,1667587558
285,torbay,47.6666,-52.7314,12.38,70,40,3.6,CA,1667587400
286,richards bay,-28.783,32.0377,22.78,90,99,5.83,ZA,1667587559
287,hualmay,-11.0964,-77.6139,20.55,68,10,5.2,PE,1667587559
288,broome,42.2506,-75.833,21.44,53,0,6.69,US,1667587559
289,chapleau,47.8405,-83.4034,15.05,77,100,6.17,CA,1667587560
290,san nicolas,18.1725,120.5953,23.95,100,40,1.54,PH,1667587560
291,mathbaria,22.2876,89.9593,20.49,79,0,1.78,BD,1667587561
292,lasa,46.6166,10.7002,6.49,93,65,3.0,IT,1667587561
293,high rock,26.6208,-78.2833,28.01,68,8,9.14,BS,1667587561
294,balezino,57.9796,53.0106,-0.64,90,100,0.76,RU,1667587562
295,chapais,49.7834,-74.8492,13.88,60,100,7.26,CA,1667587562
296,san vicente,-26.6167,-54.1333,23.57,32,2,2.72,AR,1667587562
297,iranshahr,27.2025,60.6848,24.19,31,0,2.06,IR,1667587563
298,qui nhon,13.7667,109.2333,24.41,78,77,4.55,VN,1667587563
299,price,39.5994,-110.8107,3.59,30,0,4.12,US,1667587564
300,mazatlan,23.2167,-106.4167,27.98,74,0,3.58,MX,1667587036
301,marsaxlokk,35.8419,14.5431,23.38,64,20,6.69,MT,1667587564
302,yerbogachen,61.2767,108.0108,-12.16,90,78,3.79,RU,1667587564
303,sao miguel do araguaia,-13.275,-50.1628,29.22,50,100,0.41,BR,1667587565
304,jumla,29.2747,82.1838,7.28,78,0,1.97,NP,1667587565
305,kieta,-6.2167,155.6333,25.95,81,98,1.33,PG,1667587565
306,san cristobal,7.7669,-72.225,27.1,58,100,2.31,VE,1667587566
307,turan,16.0678,108.2208,22.99,83,20,0.0,VN,1667587566
308,penzance,50.1186,-5.5371,11.38,72,100,5.42,GB,1667587566
309,sydney,-33.8679,151.2073,14.1,87,10,1.61,AU,1667586712
310,jinchang,38.4953,102.1739,3.23,43,100,2.44,CN,1667587567
311,keti bandar,24.1447,67.4497,26.57,66,41,4.66,PK,1667587567
312,nikolskoye,59.7035,30.7861,-2.89,85,30,1.49,RU,1667587568
313,artyom,40.4723,50.333,16.08,78,38,4.57,AZ,1667587568
314,sobolevo,54.4299,31.8996,-0.47,78,47,2.93,RU,1667587569
315,rongcheng,30.634,117.8517,9.73,85,28,1.98,CN,1667587569
316,demidov,55.2706,31.515,-1.0,81,9,2.07,RU,1667587569
317,mandal,25.45,74.5667,23.67,28,16,2.43,IN,1667587570
318,cherlak,54.155,74.8055,4.51,76,100,8.56,RU,1667587570
319,puri,19.8,85.85,22.29,60,0,0.5,IN,1667587570
320,turukhansk,65.8167,87.9833,-13.77,96,100,3.19,RU,1667587571
321,sioux lookout,50.1001,-91.917,-1.96,74,75,4.63,CA,1667587387
